ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
6362,The Joy Luck Club,1993,7.6,Drama,13736,Wayne Wang,139,32.86
6365,"To Sir, with Love",1967,7.7,Drama,13732,James Clavell,105,42.43
6432,Scarecrow,1973,7.3,Drama,13461,Jerry Schatzberg,112,NA
6435,Hamlet,1948,7.8,Drama,13453,Laurence Olivier,154,NA
6462,Five Minarets in New York,2010,5.9,Drama,13335,Mahsun Kirmizigül,119,NA
6474,The Cincinnati Kid,1965,7.3,Drama,13305,Norman Jewison,102,15.26
6489,Powder Blue,2009,6.3,Drama,13243,Timothy Linh Bui,106,NA
6540,Klass,2007,8,Drama,13046,Ilmar Raag,99,NA
6572,The Wild One,1953,6.9,Drama,12926,Laslo Benedek,79,NA
6575,Imitation of Life,1959,7.9,Drama,12916,Douglas Sirk,125,13.99
6588,Zabriskie Point,1970,7.1,Drama,12872,Michelangelo Antonioni,113,NA
6613,Interview,2007,6.8,Drama,12796,Steve Buscemi,84,0.42
6614,A torinói ló,2011,7.8,Drama,12782,Béla Tarr,155,0.05
6631,Little Man Tate,1991,6.7,Drama,12711,Jodie Foster,99,25.01
6652,The Brown Bunny,2003,5,Drama,12637,Vincent Gallo,93,0.37
6689,Kiss of the Spider Woman,1985,7.4,Drama,12523,Hector Babenco,120,17.04
6731,The Apostle,1997,7.2,Drama,12371,Robert Duvall,134,20.73
6781,Samaria,2004,7.1,Drama,12197,Ki-duk Kim,95,NA
6841,Sansho Dayu,1954,8.4,Drama,12043,Kenji Mizoguchi,124,NA
6885,Wakefield,2016,6.3,Drama,11922,Robin Swicord,106,0.26
6917,The Death of Mr. Lazarescu,2005,8,Drama,11837,Cristi Puiu,153,0.08
6959,Masumiyet,1997,8.3,Drama,11713,Zeki Demirkubuz,110,NA
6966,The Deep End of the Ocean,1999,6.4,Drama,11707,Ulu Grosbard,106,13.38
6969,Fireflies in the Garden,2008,6.5,Drama,11701,Dennis Lee,120,3.39
6981,Tetro,2009,6.9,Drama,11659,Francis Ford Coppola,127,0.52
7030,Another Woman,1988,7.4,Drama,11522,Woody Allen,81,1.56
7033,The Pillow Book,1996,6.7,Drama,11515,Peter Greenaway,126,2.29
7041,Late Spring,1949,8.3,Drama,11473,Yasujirô Ozu,108,NA
7071,Red Desert,1964,7.7,Drama,11396,Michelangelo Antonioni,117,NA
7079,Radio Flyer,1992,6.9,Drama,11365,Richard Donner,114,4.65
7089,Dhobi Ghat,2010,7.1,Drama,11329,Kiran Rao,100,0.58
7124,War Room,2015,6.4,Drama,11218,Alex Kendrick,120,67.79
7125,Flashbacks of a Fool,2008,6.8,Drama,11218,Baillie Walsh,109,0
7131,Talk Radio,1988,7.3,Drama,11205,Oliver Stone,110,3.47
7149,Wild Bill,2011,7.2,Drama,11156,Dexter Fletcher,98,NA
7180,The War,1994,6.7,Drama,11078,Jon Avnet,126,16.55
7204,Rosetta,1999,7.6,Drama,11035,Jean-Pierre Dardenne,95,0.26
7235,Nothing Is Private,2007,7,Drama,10950,Alan Ball,124,0.37
7237,Sherrybaby,2006,6.6,Drama,10943,Laurie Collyer,96,0.2
7256,Barbara,2012,7.2,Drama,10894,Christian Petzold,105,NA
7303,Elena,2011,7.3,Drama,10765,Andrey Zvyagintsev,109,0.02
7319,Der letzte Mann,1924,8.1,Drama,10694,F.W. Murnau,77,0.09
7332,Fashion,2008,7,Drama,10640,Madhur Bhandarkar,167,0.19
7334,Safe,1995,7.2,Drama,10636,Todd Haynes,119,0.51
7336,Newton,2017,7.8,Drama,10635,Amit Masurkar,106,NA
7350,"Kumiko, the Treasure Hunter",2014,6.6,Drama,10596,David Zellner,105,0.62
7360,Der siebente Kontinent,1989,7.8,Drama,10560,Michael Haneke,104,NA
7384,Die Ehe der Maria Braun,1978,7.9,Drama,10483,Rainer Werner Fassbinder,120,NA
7411,Takva,2006,7.5,Drama,10398,Özer Kiziltan,96,NA
7415,Ask Me Anything,2014,6.1,Drama,10378,Allison Burnett,100,NA
7417,One True Thing,1998,7,Drama,10377,Carl Franklin,127,23.25
7423,The Ballad of Jack and Rose,2005,6.7,Drama,10364,Rebecca Miller,112,0.71
7440,Yol,1982,8.2,Drama,10340,Serif Gören,114,NA
7441,Dupa dealuri,2012,7.6,Drama,10339,Cristian Mungiu,152,0.11
7448,The Selfish Giant,2013,7.3,Drama,10325,Clio Barnard,91,0.01
7461,Black or White,2014,6.6,Drama,10291,Mike Binder,121,21.57
7466,The Sea of Trees,2015,6,Drama,10254,Gus Van Sant,110,0.02
7478,Louder Than Bombs,2015,6.6,Drama,10215,Joachim Trier,109,0.16
7488,Hrútar,2015,7.3,Drama,10192,Grímur Hákonarson,93,0.14
7494,Code inconnu: Récit incomplet de divers voyages,2000,7.2,Drama,10176,Michael Haneke,118,0.1
7511,Days of Wine and Roses,1962,7.9,Drama,10118,Blake Edwards,117,NA
7541,Still Walking,2008,8,Drama,10041,Hirokazu Koreeda,115,0.16
7546,Il capitale umano,2013,7.3,Drama,10013,Paolo Virzì,111,0.16
7583,Savage Grace,2007,5.9,Drama,9920,Tom Kalin,97,0.43
7608,The Babysitters,2007,5.7,Drama,9858,David Ross,88,0.04
7609,Oliver Twist,1948,7.8,Drama,9856,David Lean,116,NA
7614,Skammen,1968,8,Drama,9851,Ingmar Bergman,103,NA
7629,Two-Lane Blacktop,1971,7.3,Drama,9820,Monte Hellman,102,NA
7639,Mulk,2018,5.9,Drama,9798,Anubhav Sinha,140,NA
7641,Dog Pound,2010,7,Drama,9796,Kim Chapiron,91,NA
7669,Ostrov,2006,8,Drama,9733,Pavel Lungin,112,NA
7675,God's Not Dead 2,2016,4.4,Drama,9717,Harold Cronk,120,20.77
7678,Carnal Knowledge,1971,7,Drama,9711,Mike Nichols,98,28.62
7717,The Night Porter,1974,6.8,Drama,9608,Liliana Cavani,118,NA
7730,The Night of the Iguana,1964,7.8,Drama,9572,John Huston,125,NA
7741,My Life,1993,6.8,Drama,9536,Bruce Joel Rubin,117,27.48
7744,Iklimler,2006,7.3,Drama,9531,Nuri Bilge Ceylan,101,0.12
7757,Certain Women,2016,6.3,Drama,9515,Kelly Reichardt,107,1.03
7769,Una giornata particolare,1977,8.1,Drama,9481,Ettore Scola,106,NA
7772,The Boys Are Back,2009,6.9,Drama,9473,Scott Hicks,104,0.81
7784,Spare Parts,2015,7.3,Drama,9422,Sean McNamara,114,3.61
7790,Stage Beauty,2004,7.2,Drama,9406,Richard Eyre,106,0.78
7812,Ginger & Rosa,2012,6.3,Drama,9345,Sally Potter,90,1.01
7824,À Ma Soeur!,2001,6.5,Drama,9330,Catherine Breillat,81,0.72
7843,Apur Sansar,1959,8.3,Drama,9274,Satyajit Ray,105,0.02
7848,Kader,2006,7.9,Drama,9260,Zeki Demirkubuz,103,NA
7856,L'avenir,2016,7,Drama,9233,Mia Hansen-Løve,102,0.28
7907,120 BPM (Beats Per Minute),2017,7.5,Drama,9101,Robin Campillo,143,0.13
7910,Thirteen Conversations About One Thing,2001,7.1,Drama,9099,Jill Sprecher,104,3.29
7918,"Je vais bien, ne t'en fais pas",2006,7.4,Drama,9085,Philippe Lioret,92,NA
7926,Aparajito,1956,8.2,Drama,9060,Satyajit Ray,110,0.17
7927,Places in the Heart,1984,7.3,Drama,9057,Robert Benton,111,34.9
7957,Norma Rae,1979,7.4,Drama,8988,Martin Ritt,114,22.23
7964,Cherry,2012,4.8,Drama,8979,Stephen Elliott,98,0
7966,Elmer Gantry,1960,7.8,Drama,8973,Richard Brooks,146,11.34
7969,All or Nothing,2002,7.6,Drama,8972,Mike Leigh,128,0.12
7979,La flor de mi secreto,1995,7.1,Drama,8948,Pedro Almodóvar,103,1.16
7990,Pelle the Conqueror,1987,7.8,Drama,8928,Bille August,157,2.05
7992,Devrim Arabalari,2008,8,Drama,8927,Tolga Örnek,115,NA
8005,Blue Jay,2016,7.3,Drama,8906,Alex Lehmann,80,0.01
8010,Romance,1999,5.3,Drama,8900,Catherine Breillat,84,1.28
8041,Happy End,2017,6.8,Drama,8856,Michael Haneke,107,0.3
8055,Manic,2001,7.4,Drama,8822,Jordan Melamed,100,0.07
8064,Written on the Wind,1956,7.5,Drama,8808,Douglas Sirk,99,NA
8065,Samurai Rebellion,1967,8.4,Drama,8807,Masaki Kobayashi,128,NA
8083,The War Zone,1999,7.4,Drama,8782,Tim Roth,98,0.25
8089,Like Someone in Love,2012,7,Drama,8769,Abbas Kiarostami,109,0.22
8109,The Wanderers,1979,7.4,Drama,8724,Philip Kaufman,112,0.01
8139,"The Long, Hot Summer",1958,7.5,Drama,8653,Martin Ritt,115,NA
8154,Khuda Kay Liye,2007,8.4,Drama,8627,Shoaib Mansoor,168,NA
8158,Tristana,1970,7.6,Drama,8625,Luis Buñuel,99,0.01
8168,Luck by Chance,2009,7.1,Drama,8606,Zoya Akhtar,156,0.36
8198,Pretty Baby,1978,6.6,Drama,8560,Louis Malle,110,5.79
8206,Reprise,2006,7.4,Drama,8538,Joachim Trier,105,0.55
8217,Nói albinói,2003,7.4,Drama,8514,Dagur Kári,93,0.06
8218,Gönül Yarasi,2005,7.8,Drama,8513,Yavuz Turgul,142,NA
8223,The Brave,1997,6.4,Drama,8499,Johnny Depp,123,NA
8235,Mouchette,1967,7.8,Drama,8477,Robert Bresson,81,NA
8240,Submarino,2010,7.6,Drama,8460,Thomas Vinterberg,105,NA
8250,No Deposit,2015,5.3,Drama,8446,Frank D'Angelo,80,NA
8261,The Big Fat Stone,2014,5.5,Drama,8425,Frank D'Angelo,111,NA
8266,Cradle Will Rock,1999,6.9,Drama,8418,Tim Robbins,132,2.9
8273,The Cure,1995,7.7,Drama,8409,Peter Horton,97,2.57
8290,Günesi Gördüm,2009,6.5,Drama,8378,Mahsun Kirmizigül,120,NA
8305,Emmanuelle,1974,5.3,Drama,8351,Just Jaeckin,105,8.72
8307,Columbus,2017,7.3,Drama,8346,Kogonada,104,1.02
8324,The First Day of the Rest of Your Life,2008,7.6,Drama,8320,Rémi Bezançon,114,NA
8333,Mephisto,1981,7.8,Drama,8304,István Szabó,144,NA
8342,Nabbeun namja,2001,6.8,Drama,8290,Ki-duk Kim,100,NA
8370,Before I Disappear,2014,7.2,Drama,8242,Shawn Christensen,93,0.01
8386,The Nun's Story,1959,7.6,Drama,8212,Fred Zinnemann,149,12.8
8406,September,1987,6.6,Drama,8167,Woody Allen,83,0.49
8417,Osama,2003,7.4,Drama,8144,Siddiq Barmak,83,1.13
8423,Eternity and a Day,1998,7.9,Drama,8137,Theodoros Angelopoulos,137,0.11
8432,Shi,2010,7.8,Drama,8118,Chang-dong Lee,139,0.36
8446,Morvern Callar,2002,6.8,Drama,8092,Lynne Ramsay,97,0.27
8462,Faces,1968,7.7,Drama,8072,John Cassavetes,130,NA
8470,Bol,2011,8.3,Drama,8056,Shoaib Mansoor,165,0.15
8478,Noel,2004,6.2,Drama,8040,Chazz Palminteri,96,NA
8479,Tang shan da di zhen,2010,7.6,Drama,8039,Xiaogang Feng,135,0.06
8488,Journal d'un curé de campagne,1951,8,Drama,8013,Robert Bresson,115,NA
8497,Ma vie en rose,1997,7.6,Drama,8001,Alain Berliner,88,2.28
8513,Alice in den Städten,1974,8,Drama,7972,Wim Wenders,110,NA
8533,Time to Leave,2005,7.1,Drama,7934,François Ozon,81,0.12
8534,Beach Rats,2017,6.4,Drama,7930,Eliza Hittman,98,0.47
8561,Tokyo Sonata,2008,7.6,Drama,7882,Kiyoshi Kurosawa,120,0.28
8581,Woyzeck,1979,7.2,Drama,7849,Werner Herzog,82,NA
8590,The Swimmer,1968,7.7,Drama,7839,Frank Perry,95,NA
8594,Julia,1977,7.3,Drama,7831,Fred Zinnemann,117,NA
8604,Nil by Mouth,1997,7.4,Drama,7807,Gary Oldman,128,NA
8613,Foxfire,1996,6.2,Drama,7793,Annette Haywood-Carter,102,0.26
8642,Personal Effects,2009,6.3,Drama,7755,David Hollander,106,NA
8679,Le hérisson,2009,7.4,Drama,7707,Mona Achache,100,NA
8696,Otac na sluzbenom putu,1985,7.9,Drama,7688,Emir Kusturica,136,0.02
8703,Lilies of the Field,1963,7.6,Drama,7673,Ralph Nelson,94,NA
8704,Cría Cuervos,1976,8.1,Drama,7672,Carlos Saura,105,NA
8707,The Silence of Lorna,2008,7.2,Drama,7668,Jean-Pierre Dardenne,105,0.34
8730,Ragtime,1981,7.3,Drama,7626,Milos Forman,155,21.02
8733,The Servant,1963,7.9,Drama,7625,Joseph Losey,116,0.04
8746,The Indian Runner,1991,7.1,Drama,7609,Sean Penn,127,0.19
8750,Eve's Bayou,1997,7.3,Drama,7603,Kasi Lemmons,109,14.82
8800,White Dog,1982,7.1,Drama,7543,Samuel Fuller,90,NA
8811,Gimme Shelter,2013,6.5,Drama,7525,Ron Krauss,101,1.36
8814,Neds,2010,7,Drama,7519,Peter Mullan,124,NA
8827,Yi ge dou bu neng shao,1999,7.7,Drama,7504,Yimou Zhang,106,0.59
8829,Do-ga-ni,2011,8,Drama,7502,Dong-hyuk Hwang,125,NA
8848,Ratcatcher,1999,7.5,Drama,7474,Lynne Ramsay,94,0.22
8858,A Family Man,2016,6.5,Drama,7456,Mark Williams,108,NA
8863,Sátántangó,1994,8.5,Drama,7449,Béla Tarr,450,NA
8881,Alpeis,2011,6.4,Drama,7415,Yorgos Lanthimos,93,0.01
8893,Paradies: Liebe,2012,7.1,Drama,7399,Ulrich Seidl,120,0.02
8902,Ironweed,1987,6.8,Drama,7383,Hector Babenco,143,7.39
8903,The Only Living Boy in New York,2017,6.3,Drama,7381,Marc Webb,89,0.62
8927,Glen or Glenda,1953,4.2,Drama,7338,Edward D. Wood Jr.,65,NA
8937,Azuloscurocasinegro,2006,7.3,Drama,7317,Daniel Sánchez Arévalo,105,0
8967,The Front,1976,7.4,Drama,7276,Martin Ritt,95,NA
8968,Ruth & Alex,2014,6.2,Drama,7274,Richard Loncraine,88,1.01
8987,Boulevard,2014,5.8,Drama,7249,Dito Montiel,88,0.12
9007,Opening Night,1977,8.1,Drama,7231,John Cassavetes,144,NA
9008,Butterfly's Tongue,1999,7.6,Drama,7231,José Luis Cuerda,96,2.09
9091,Phoebe in Wonderland,2008,7.2,Drama,7118,Daniel Barnz,96,0.07
9121,The Tracey Fragments,2007,6.2,Drama,7063,Bruce McDonald,77,0.03
9126,George Washington,2000,7.4,Drama,7060,David Gordon Green,89,0.24
9139,The Pawnbroker,1964,7.8,Drama,7044,Sidney Lumet,116,NA
9160,Mamma Roma,1962,7.9,Drama,7023,Pier Paolo Pasolini,106,NA
9162,Aruvi,2016,8.9,Drama,7021,Arun Prabhu Purushothaman,130,NA
9165,Mutluluk,2007,7.6,Drama,7020,Abdullah Oguz,105,0.04
9179,Guilty by Suspicion,1991,6.5,Drama,7001,Irwin Winkler,105,9.48
9188,Pozitia copilului,2013,7.4,Drama,6990,Cãlin Peter Netzer,112,0.09
9206,The Passion of Anna,1969,7.8,Drama,6964,Ingmar Bergman,101,NA
9228,Tabutta Rövasata,1996,7.8,Drama,6936,Dervis Zaim,75,NA
9232,La vie rêvée des anges,1998,7.5,Drama,6928,Erick Zonca,113,1.73
9239,Circumstance,2011,5.9,Drama,6919,Maryam Keshavarz,107,0.44
9245,Kodachrome,2017,6.8,Drama,6911,Mark Raso,105,NA
9274,Lawn Dogs,1997,7.6,Drama,6880,John Duigan,101,0.11
9295,Canim Kardesim,1973,8.8,Drama,6853,Ertem Egilmez,92,NA
9324,Irina Palm,2007,7.2,Drama,6821,Sam Garbarski,103,0.04
9326,Bad ma ra khahad bord,1999,7.6,Drama,6818,Abbas Kiarostami,118,0.21
9343,I Am David,2003,7.3,Drama,6796,Paul Feig,90,0.28
9356,October Baby,2011,6.8,Drama,6783,Andrew Erwin,107,5.36
9391,Le Feu Follet,1963,8,Drama,6728,Louis Malle,108,NA
9442,Przypadek,1987,8,Drama,6658,Krzysztof Kieslowski,114,NA
9444,02:37,2006,6.9,Drama,6657,Murali K. Thalluri,95,NA
9450,Welcome,2009,7.6,Drama,6651,Philippe Lioret,110,0.01
9464,The Wild Child,1970,7.6,Drama,6637,François Truffaut,83,0.06
9470,A Star Is Born,1937,7.6,Drama,6630,William A. Wellman,111,4.36
9500,For Colored Girls,2010,6,Drama,6583,Tyler Perry,133,37.72
9515,Lust Stories,2018,6.6,Drama,6559,Zoya Akhtar,120,NA
9516,Jesus' Son,1999,7,Drama,6559,Alison Maclean,107,1.28
9525,About Alex,2014,6.4,Drama,6543,Jesse Zwick,99,NA
9555,An,2015,7.3,Drama,6500,Naomi Kawase,113,0.12
9592,"Bright Lights, Big City",1988,5.7,Drama,6461,James Bridges,107,16.12
9612,Une nouvelle amie,2014,6.6,Drama,6437,François Ozon,108,0.13
9618,Madame Bovary,2014,5.7,Drama,6433,Sophie Barthes,118,NA
9620,12 and Holding,2005,7.6,Drama,6430,Michael Cuesta,94,0.1
9633,Ichimei,2011,7.4,Drama,6419,Takashi Miike,128,0.06
9641,Still Life,2013,7.4,Drama,6411,Uberto Pasolini,92,NA
9652,Arthur and Mike,2012,5.7,Drama,6397,Dante Ariola,93,NA
9675,Bee Season,2005,5.5,Drama,6363,Scott McGehee,104,1.18
9679,Blind,2014,6.9,Drama,6358,Eskil Vogt,96,NA
9682,Accattone,1961,7.8,Drama,6354,Pier Paolo Pasolini,117,NA
9683,Jésus de Montréal,1989,7.5,Drama,6354,Denys Arcand,118,1.6
9687,Manglehorn,2014,5.6,Drama,6346,David Gordon Green,97,0.13
9689,An Autumn Afternoon,1962,8.2,Drama,6339,Yasujirô Ozu,113,NA
9698,The Family That Preys,2008,5.4,Drama,6322,Tyler Perry,111,37.02
9727,The Dead,1987,7.4,Drama,6297,John Huston,83,4.37
9729,Shamitabh,2015,6.8,Drama,6296,R. Balki,155,0.24
9740,Izgnanie,2007,7.7,Drama,6285,Andrey Zvyagintsev,157,NA
9745,La Promesse,1996,7.9,Drama,6278,Jean-Pierre Dardenne,90,0.45
9765,Bakha satang,1999,7.8,Drama,6254,Chang-dong Lee,129,NA
9782,Abril Despedaçado,2001,7.7,Drama,6240,Walter Salles,105,0.06
9786,Baska Dilde Ask,2009,7.4,Drama,6237,Ilksen Basarir,98,NA
9789,A Girl Like Her,2015,7.1,Drama,6233,Amy S. Weber,91,NA
9795,Nine Lives,2005,6.8,Drama,6226,Rodrigo García,115,0.48
9806,Bande de filles,2014,6.9,Drama,6215,Céline Sciamma,113,NA
9819,Do You Believe?,2015,6.1,Drama,6198,Jon Gunn,120,12.99
9824,Goat,2016,5.7,Drama,6192,Andrew Neel,96,0.02
9826,The Bells of St. Mary's,1945,7.4,Drama,6191,Leo McCarey,126,21.3
9827,Couscous,2007,7.4,Drama,6191,Abdellatif Kechiche,151,0.09
9833,Ulee's Gold,1997,7.1,Drama,6183,Victor Nunez,113,9.05
9857,Third Star,2010,7.6,Drama,6164,Hattie Dalton,92,NA
9929,Narayama bushikô,1983,7.9,Drama,6084,Shôhei Imamura,130,NA
9940,Page 3,2005,7.3,Drama,6076,Madhur Bhandarkar,139,NA
9962,Beyaz Melek,2007,6.4,Drama,6051,Mahsun Kirmizigül,122,NA
9964,Dah,2002,7.5,Drama,6050,Abbas Kiarostami,92,0.11
9966,Bal,2010,7.2,Drama,6047,Semih Kaplanoglu,103,NA
9991,Starlet,2012,6.8,Drama,6030,Sean Baker,103,0.09
9997,Stachka,1925,7.6,Drama,6021,Sergei M. Eisenstein,95,NA
